Sr no,Domain,Question,Expected Answer
1,Finance,"If I could use only one statement to review the overall health of a company, which statement would I use, and why?",The statement I would use to review the overall health of a company is the cash flow statement. It provides a comprehensive view of a company's ability to generate cash.
2,Finance,When should a company consider issuing debt instead of equity?,"A company should consider issuing debt instead of equity when it wants to maintain control and avoid diluting ownership, especially if it believes it can generate returns higher than the cost of debt."
3,Finance,How do you calculate the WACC?,WACC (Weighted Average Cost of Capital) is calculated by multiplying the cost of each capital component by its proportional weight and then summing the results.
4,Finance,"Which is cheaper, debt or equity?","Debt is generally cheaper than equity due to the tax-deductibility of interest payments and lower risk to investors, leading to lower required returns."
5,Finance,What is working capital?,"Working capital is the difference between a company's current assets and current liabilities, representing its ability to meet short-term financial obligations."
6,Finance,What does negative working capital mean?,"Negative working capital means that a company's current liabilities exceed its current assets, potentially indicating liquidity issues or inefficiencies in managing working capital."
7,Finance,When do you capitalize rather than expense a purchase?,"Purchases are capitalized when they result in the acquisition of assets that provide benefits over multiple accounting periods, rather than expensed immediately."
8,Finance,Why would two companies merge? What major factors drive mergers and acquisitions?,"Two companies might merge to achieve synergies, expand market share, increase efficiency, or gain access to new technologies or markets. Major factors include strategic fit and potential cost savings."
9,Finance,Explain quantitative easing.,Quantitative easing is a monetary policy tool used by central banks to stimulate the economy by purchasing government securities or other financial assets to inject liquidity into the financial system.
10,Finance,Tell me about the shape of the yield curve.,"The yield curve plots the yields of bonds with different maturities. Its shape can be upward sloping (normal), flat, or inverted, reflecting market expectations about future interest rates."
11,Finance,Explain the Yield Curve and its significance.,The Yield Curve is a graphical representation of the relationship between bond yields and their maturities. It's significant as it reflects market sentiment about economic conditions and future interest rate movements.
12,Finance,Explain the difference between a regular good and a Veblen good?,"A regular good's demand decreases as its price rises, while a Veblen good's demand increases with its price due to its perceived status or exclusivity."
13,Finance,What economic indicators are considered by the Federal Reserve when making interest rate decisions?,"The Federal Reserve considers various indicators like GDP growth, inflation, unemployment rates, consumer spending, and housing data when making interest rate decisions."
14,Finance,What is your outlook on the US dollar?,"The outlook on the US dollar depends on various factors such as economic performance, monetary policy, geopolitical events, and investor sentiment."
15,Finance,How do you value a currency?,"Currency valuation involves assessing economic fundamentals, including inflation, interest rates, trade balances, and geopolitical stability, to determine its relative strength or weakness."
16,Finance,How would you calculate Value at Risk (VaR)?,"Value at Risk (VaR) is calculated by determining the maximum potential loss within a specified confidence level over a given time horizon, based on historical data and statistical models."
